ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
528,Kaabil,2017,18+,7.1,70%,139
529,The Company Men,2010,18+,6.7,67%,104
530,Studio 54,2018,18+,6.9,90%,93
531,The Case for Christ,2017,7+,6.2,59%,112
532,Outside In,2018,,6.6,95%,109
533,Mowgli: Legend of the Jungle,2018,13+,6.5,52%,104
534,Errementari: The Blacksmith and the Devil,2018,,6.3,67%,98
535,Jimmy Neutron: Boy Genius,2001,all,6,74%,82
536,World Trade Center,2006,13+,5.9,67%,129
537,I Am Kalam,2010,all,8,80%,88
538,PEEPLI [Live],2010,7+,7.4,85%,95
539,My Scientology Movie,2016,,6.7,89%,99
540,Latin History for Morons: John Leguizamo's Road to Broadway,2018,7+,7.5,100%,
541,Mortal Kombat,1995,13+,5.8,47%,101
542,Behind the Curve,2018,16+,6.5,89%,96
543,Soni,2019,18+,7.2,85%,110
