ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
544,Carriers,2009,13+,6,68%,84
545,Tig,2015,,7.4,77%,95
546,Patton Oswalt: Annihilation,2017,,7.2,100%,66
547,Trixie Mattel: Moving Parts,2019,,7.3,88%,91
548,Petta,2019,,7.3,80%,171
549,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,2018,18+,7,95%,70
550,Can't Hardly Wait,1998,13+,6.5,42%,100
551,The Confirmation,2016,13+,6.4,91%,101
552,The First Wives Club,1996,7+,6.4,50%,103
553,Colonia,2016,18+,7.1,26%,110
554,Free Fire,2017,18+,6.4,68%,91
555,Life As We Know It,2010,13+,6.5,29%,114
556,To All the Boys: P.S. I Still Love You,2020,16+,6,75%,101
557,Cop Car,2015,18+,6.3,80%,88
558,Urban Cowboy,1980,7+,6.3,67%,132
559,Above the Rim,1994,18+,6.6,53%,96
560,Screwball,2019,,7.1,94%,105
561,Prosecuting Evil: The Extraordinary World of Ben Ferencz,2018,,7.3,100%,83
562,The Incident,2014,,6.4,83%,107
563,Resident Evil: Extinction,2007,18+,6.3,24%,94
564,American Assassin,2017,18+,6.2,35%,112
565,Rang De Basanti,2006,13+,8.2,,167
566,Open Season,2006,7+,6.1,48%,86
567,Strong Island,2017,,6.4,100%,107
568,Resident Evil: Apocalypse,2004,18+,6.2,20%,94
569,Smoke & Mirrors,2016,,6.9,83%,123
570,Sky Ladder: The Art of Cai Guo-Qiang,2017,,7.3,100%,76
571,Kate & Leopold,2001,13+,6.4,50%,118
572,Raiders!: The Story of the Greatest Fan Film Ever Made,2015,,6.9,91%,106
573,Then Came You,2019,13+,7,59%,97
574,The Forest of Love,2019,,6.4,100%,151
575,I Called Him Morgan,2016,,7.3,96%,92
576,The Money Pit,1986,7+,6.4,48%,91
577,The Angel,2018,18+,6.6,75%,114
578,Burlesque,2010,13+,6.4,36%,119
579,My Masterpiece,2018,,7.1,86%,100
580,Mr. Church,2016,13+,7.6,24%,104
581,Murder Mystery,2019,13+,6,44%,97
582,Audrie & Daisy,2016,,7.2,81%,95
583,Miss Hokusai,2015,13+,6.7,93%,93
584,Dumplin',2018,,6.6,63%,110
585,The Invention of Lying,2009,13+,6.4,56%,100
586,Breath,2017,18+,6.7,80%,115
587,Kodachrome,2017,18+,6.8,72%,105
588,Operation Red Sea,2018,18+,6.7,80%,142
589,Murder Party,2007,,5.8,100%,79
590,Woodstock: Three Days That Defined a Generation,2019,,7.6,84%,106
591,Laggies,2014,18+,6.4,65%,99
592,Eye for an Eye,2019,,6.6,88%,98
593,Cowspiracy: The Sustainability Secret,2014,,8.3,,90
594,Eddie Murphy: Delirious,1983,18+,8.2,83%,69
595,The Aerial,2007,,7.4,64%,99
596,Fire in Paradise,2019,18+,7.4,80%,39
597,Cookie's Fortune,1999,13+,6.8,86%,118
598,Before I Wake,2016,13+,6.2,61%,97
599,Layla M.,2016,,6.7,100%,98
600,Mountain,2018,7+,7.2,87%,74
601,Center Stage,2000,13+,6.7,42%,115
602,Mr. Right,2016,18+,6.3,44%,95
603,Tamasha,2015,7+,7.3,67%,139
604,Just Another Love Story,2007,,7.2,74%,100
605,Quartet,2012,13+,6.8,80%,98
606,Dil Chahta Hai,2001,all,8.1,,183
607,"Bikram: Yogi, Guru, Predator",2019,18+,6.7,96%,86
608,Dolphin Tale 2,2014,7+,6.4,65%,107
609,No One Killed Jessica,2011,13+,7.2,80%,136
610,I Am Bolt,2016,7+,7.1,85%,107
611,Evolution,2001,13+,6.1,43%,101
612,BuyBust,2018,,5.8,82%,127
613,Advantageous,2015,,6.2,84%,90
614,The Iron Lady,2011,13+,6.4,52%,105
615,Son of a Gun,2014,18+,6.5,62%,108
616,Rugrats in Paris: The Movie,2000,all,6.1,76%,78
617,On My Skin,2018,,7.3,60%,100
618,Sweetheart,2019,13+,5.7,94%,82
619,Raees,2017,18+,6.8,67%,143
620,The Rover,2014,18+,6.4,66%,103
621,Paan Singh Tomar,2012,7+,8.2,,135
622,The Other Side of the Wind,2018,18+,6.8,83%,122
623,The Garden of Words,2013,13+,7.5,,46
624,The Legend of 420,2017,,6.7,100%,87
625,Let It Fall: Los Angeles 1982-1992,2017,18+,7.7,100%,144
626,Manto,2018,,7.4,71%,112
627,Rainbow,2015,,8,73%,106
628,Walking Out,2017,13+,5.8,90%,95
629,Holy Hell,2016,,7.1,75%,100
630,After,2019,13+,5.4,17%,105
631,Jersey Boys,2014,18+,6.8,51%,134
632,Flavors of Youth,2018,,6.6,80%,74
633,Nappily Ever After,2018,18+,6.4,71%,98
634,Final Destination 3,2006,18+,5.8,43%,93
635,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,13+,6.6,41%,109
636,Elizabeth: The Golden Age,2007,13+,6.8,34%,114
637,37 Seconds,2019,,7.3,85%,115
638,A Futile and Stupid Gesture,2018,18+,6.8,61%,101
639,The Green Hornet,2011,13+,5.8,44%,119
640,Dear John,2010,13+,6.3,29%,108
641,Heroin(e),2017,,6.8,100%,39
642,Guzaarish,2010,7+,7.4,67%,126
643,Imperial Dreams,2014,,6.8,91%,87
644,Between Two Ferns: The Movie,2019,18+,6.1,77%,82
645,13 Sins,2014,18+,6.3,65%,93
646,Kiss the Girls,1997,18+,6.6,29%,115
647,Newness,2017,,6.4,69%,117
648,Mr. Roosevelt,2017,18+,6.2,100%,90
649,Justin Timberlake + The Tennessee Kids,2016,,7.8,100%,90
650,Battle: Los Angeles,2011,13+,5.7,36%,116
651,Hondros,2018,,7.5,100%,90
652,When We First Met,2018,16+,6.4,56%,97
653,(T)ERROR,2015,,6.6,91%,84
654,Kuch Kuch Hota Hai,1998,all,7.6,,177
655,Trailer Park Boys: The Movie,2006,18+,7.2,57%,95
656,G.O.R.A.,2004,13+,8,,127
657,Phantom Boy,2015,7+,6.6,88%,84
658,Survivor's Guide to Prison,2018,18+,7.1,100%,102
659,Transcendence,2014,13+,6.3,20%,119
660,Jagga Jasoos,2017,7+,6.5,90%,161
661,The Perfect Date,2019,16+,5.8,65%,89
662,A Fortunate Man,2018,16+,7.2,80%,162
663,Kahaani,2012,,8.1,,122
664,Andaz Apna Apna,1994,7+,8.2,,160
665,Let It Snow,2019,13+,5.8,81%,92
666,Middle School: The Worst Years of My Life,2016,7+,6.1,63%,92
667,The Little Hours,2017,18+,5.8,78%,90
668,Aval,2017,13+,6.8,100%,137
669,The Unknown Known,2013,13+,7,82%,103
670,Kahlil Gibran's The Prophet,2014,7+,7.1,65%,85
671,The Princess Switch,2018,7+,6,75%,101
672,The Blackcoat's Daughter,2017,18+,5.9,73%,93
673,What We Started,2018,,7,85%,94
674,Let There Be Light,1946,,7.4,83%,91
675,Into the Forest,2016,18+,5.8,76%,101
676,God Knows Where I Am,2016,,7.3,84%,97
677,Stuart Little 2,2002,all,5.4,81%,77
678,The Rolling Stones: Olé Olé Olé! – A Trip Across Latin America,2016,16+,7.5,100%,105
679,Sand Storm,2016,,6.8,92%,87
680,From Paris with Love,2010,18+,6.5,38%,92
681,Luck by Chance,2009,,7,80%,156
682,I Am Jane Doe,2017,,6.8,91%,91
683,Pee-wee's Big Holiday,2016,7+,6.1,80%,90
684,Promised Land,2012,18+,6.6,52%,106
685,Carrie Pilby,2017,,6.6,62%,98
686,Seeing Allred,2018,16+,6.8,100%,96
687,Goldstone,2016,18+,6.5,76%,110
688,The Signal,2014,13+,6.1,61%,97
689,The Red Sea Diving Resort,2019,18+,6.5,30%,129
690,Self/less,2015,13+,6.5,19%,117
691,The Burial of Kojo,2018,,6.4,100%,80
692,Horse Girl,2020,18+,5.9,72%,103
693,Headshot,2016,,6.3,72%,92
694,Joan Didion: The Center Will Not Hold,2017,,7.4,89%,94
695,Circle,2015,,6,60%,87
696,Chris Rock: Tamborine,2018,18+,6.5,100%,64
697,The Monster,2016,18+,5.4,81%,91
698,Sergio,2020,18+,6.1,44%,118
699,The C Word,2016,,7.6,100%,30
700,John Mulaney: New in Town,2012,18+,8.3,,60
701,In the Shadow of the Moon,2019,18+,6.2,59%,115
702,Mirror Mirror,2012,7+,5.6,50%,106
703,Hasee Toh Phasee,2014,13+,6.8,80%,141
704,Bhavesh Joshi Superhero,2018,,7.6,63%,154
705,Brooklyn's Finest,2009,18+,6.7,44%,132
706,Wakefield,2017,18+,6.3,74%,106
707,Wish I Was Here,2014,18+,6.7,46%,106
708,Lu Over the Wall,2017,7+,6.8,76%,112
709,Man of Tai Chi,2013,18+,6.1,70%,105
710,Comedian,2002,18+,6.9,76%,82
711,Alive and Kicking,2017,,6.6,100%,94
712,The Secret,2006,7+,5.6,74%,106
713,Louis C.K.: Hilarious,2010,,8.5,,82
714,Notes on Blindness,2016,,7.1,95%,90
715,The Kissing Booth,2018,16+,6.1,17%,105
716,Horns,2013,18+,6.5,41%,120
717,Emelie,2016,,5.4,88%,82
718,Best Worst Thing That Ever Could Have Happened...,2016,,7.5,95%,95
719,Go!,2020,,5.9,78%,102
720,First Match,2018,18+,6.3,82%,102
721,Grass is Greener,2019,,7.2,100%,97
722,The Short Game,2013,7+,7.4,84%,99
723,Sunday's Illness,2018,13+,6.9,94%,113
724,Ten Years,2015,,6.7,100%,100
725,Chicken Little,2005,all,5.7,37%,81
726,Kicking and Screaming,1995,18+,6.8,57%,95
727,The Ravenous,2017,,5.9,88%,21
728,Animal World,2018,,6.5,70%,30
729,Michelle Wolf: Joke Show,2019,,7.1,100%,59
730,Kevin Hart: Let Me Explain,2013,18+,6.8,61%,75
731,Fun with Dick and Jane,2005,13+,6.2,28%,90
732,Seoul Searching,2015,18+,7.1,75%,105
733,The Keeping Hours,2017,13+,6.3,80%,91
734,Kickboxer: Retaliation,2018,18+,5,92%,110
735,Weed the People,2018,,7,100%,97
736,Time Share,2018,18+,6,95%,96
737,Johnny English Reborn,2011,7+,6.3,38%,101
738,Fire in the Blood,2013,,7.7,90%,87
739,Dil Dhadakne Do,2015,13+,6.8,64%,170
740,6 Days,2017,18+,6.2,63%,94
741,Morris from America,2016,18+,6.2,88%,91
742,Joshua: Teenager vs. Superpower,2017,16+,7,93%,79
743,Highway,2014,13+,7.7,88%,133
744,Sweet Virginia,2017,18+,6.2,78%,93
745,Chloe,2009,18+,6.3,51%,96
746,Manson Family Vacation,2015,,5.8,100%,84
747,Benji,2018,7+,6.3,60%,87
748,Roll Red Roll,2019,,7.1,100%,80
749,All About Nina,2018,18+,6,86%,97
750,Heartbreakers,2001,13+,6.2,53%,123
751,Mercury 13,2018,,6.8,100%,78
752,Kevin Hart: What Now?,2016,18+,5.9,76%,96
753,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,6.7,100%,54
754,All Day and a Night,2020,18+,5.9,53%,121
755,ARQ,2016,18+,6.4,43%,88
756,Nighthawks,1981,18+,6.4,70%,99
757,Quién te cantará,2018,,7,90%,125
758,Romeo Must Die,2000,18+,6.1,32%,115
759,Love Off the Cuff,2017,,6.5,100%,121
760,47 Meters Down,2017,13+,5.6,53%,89
761,Udaan,2010,18+,8.2,,134
762,Barakah Meets Barakah,2016,,6.2,100%,88
763,Ghost Rider,2007,13+,5.2,26%,110
764,FYRE: The Greatest Party That Never Happened,2019,,7.2,91%,97
765,Cardboard Gangsters,2017,,6.4,94%,92
766,Khosla Ka Ghosla!,2006,,8.3,,135
767,Sierra Burgess Is a Loser,2018,13+,5.8,66%,105
768,Same Kind of Different as Me,2017,13+,6.6,33%,119
769,Cult of Chucky,2017,18+,5.2,78%,91
770,Tremors 2: Aftershocks,1996,13+,6,63%,100
771,May the Devil Take You,2018,18+,6,83%,110
772,Invader ZIM: Enter the Florpus,2019,7+,7.5,100%,71
773,Dovlatov,2018,,6.4,78%,126
774,Jupiter Ascending,2015,13+,5.3,27%,127
775,The Occupant,2020,18+,6.3,50%,103
776,Shutter,2004,18+,7.1,,97
777,E-Team,2014,,7.1,82%,88
778,Class Rank,2017,,6.4,86%,108
779,Wildling,2018,18+,5.5,70%,92
780,Velvet Buzzsaw,2019,18+,5.7,62%,113
781,Win It All,2017,18+,6.2,85%,88
782,Sprinter,2019,,6,80%,114
783,Palm Trees in the Snow,2015,,7.4,86%,163
784,Nacho Libre,2006,7+,5.7,39%,92
785,Chasing Trane,2017,,7.3,76%,99
786,Lady J,2018,16+,6.9,83%,109
787,Voyeur,2017,18+,6.2,77%,98
788,The Breaker Upperers,2018,,5.9,89%,90
789,Dinner for Schmucks,2010,13+,5.9,41%,114
790,Mike Birbiglia: My Girlfriend's Boyfriend,2013,,8,100%,76
791,School Daze,1988,18+,6,58%,121
792,The Knight Before Christmas,2019,7+,5.5,75%,92
793,Mitt,2014,,6.9,83%,94
794,Terrifier,2016,,5.6,69%,82
795,Resident Evil: Afterlife,2010,18+,5.8,22%,96
796,Conor McGregor: Notorious,2017,18+,7.2,50%,90
797,Khoobsurat,2014,7+,6.4,80%,130
798,Game Over,2019,,7.1,55%,96
799,The Ballad of Lefty Brown,2017,18+,6.3,78%,111
800,Main Hoon Na,2004,7+,7,,179
801,The Untold Tales of Armistead Maupin,2017,,7.6,91%,90
802,The Space Between Us,2017,13+,6.4,16%,120
803,The Physician,2013,18+,7.2,,155
804,Karthik Calling Karthik,2010,7+,7,80%,135
805,Ginger & Rosa,2012,13+,6.3,78%,90
806,White Girl,2016,,5.7,72%,88
807,The Time Machine,2002,13+,6,29%,96
808,Look Who's Back,2015,,7.1,,116
809,Ellen DeGeneres: Relatable,2018,,6.5,92%,68
810,Kabhi Alvida Naa Kehna,2006,18+,6.1,58%,193
811,The Drug King,2018,,6.1,80%,139
812,Long Time Running,2017,,7.8,86%,97
813,Maps to the Stars,2014,18+,6.2,61%,111
814,Lovesong,2017,,6.3,83%,84
815,Looney Tunes: Back in Action,2003,7+,5.7,56%,93
816,Homecoming: A Film by Beyoncé,2019,13+,7.4,98%,137
817,A Christmas Prince,2017,7+,5.7,73%,92
818,Occupation,2018,18+,5.1,50%,119
819,Marc Maron: Too Real,2017,,7.2,80%,70
820,Steal a Pencil for Me,2007,,7.5,95%,94
821,"Faith, Hope & Love",2019,7+,6.1,80%,106
822,The Bling Ring,2013,18+,5.6,59%,90
823,Pokémon the Movie: The Power of Us,2018,all,6.3,71%,100
824,Chronicle of an Escape,2006,18+,7.2,67%,103
825,The Tourist,2010,13+,6,20%,103
826,God of War,2017,,6.4,80%,
827,Menashe,2017,7+,6.5,96%,82
828,Lez Bomb,2018,18+,5,89%,90
829,National Bird,2016,,7.1,100%,92
830,System Crasher,2019,,7.9,92%,125
831,The 36th Chamber of Shaolin,1978,18+,7.7,,116
832,What a Girl Wants,2003,7+,5.8,35%,105
833,Candy Jar,2018,13+,5.8,71%,92
834,He Named Me Malala,2015,13+,6.9,72%,88
835,Te3n,2016,,7.3,100%,136
836,Race to Witch Mountain,2009,7+,5.7,42%,98
837,A Gray State,2017,18+,6.2,100%,93
838,Chupke Chupke,1975,18+,8.4,,146
839,The Land of Steady Habits,2018,,6.2,84%,98
840,A Night at the Roxbury,1998,13+,6.3,11%,82
841,Neon Genesis Evangelion: Death and Rebirth,1997,,7.5,,101
842,My Big Night,2015,,6,90%,100
843,Song for Marion,2012,13+,7,65%,90
844,The Discovery,2017,18+,6.3,46%,102
845,The Laundromat,2019,18+,6.3,42%,95
846,Gol Maal,1979,18+,8.6,,120
847,Lifechanger,2018,,5.4,86%,84
848,Would You Rather,2012,,5.7,59%,93
849,The Butterfly's Dream,2013,13+,7.8,,138
850,Vizontele,2001,,8,,110
851,Hasan Minhaj: Homecoming King,2017,18+,8.3,,73
852,Una,2017,18+,6.2,76%,94
853,Bethany Hamilton: Unstoppable,2019,7+,7.3,71%,100
854,Alone in Berlin,2016,18+,6.5,57%,103
855,Dhobi Ghat,2010,16+,7,68%,100
856,Burning Sands,2017,18+,6.1,86%,96
857,The Great Hack,2019,,7,83%,114
858,We Are Your Friends,2015,18+,6.2,38%,96
859,Barry,2016,,5.8,80%,30
860,John Mulaney: The Comeback Kid,2015,,7.9,,62
861,The Rugrats Movie,1998,all,5.9,59%,79
862,Bill Burr: You People Are All The Same,2012,18+,8.3,,69
863,Bill Nye: Science Guy,2017,,6.1,100%,101
864,Hit & Run,2012,18+,6.1,48%,100
865,Kabir Singh,2019,,7.1,25%,173
866,The Most Unknown,2018,,6.6,91%,92
867,Mean Dreams,2016,18+,6.3,78%,108
868,Ali Wong: Hard Knock Wife,2018,18+,7.4,100%,64
869,Trophy,2016,,7.3,98%,108
870,Dream Big: Engineering Our World,2017,,6.4,100%,42
871,Toilet - Ek Prem Katha,2017,,7.2,43%,155
872,Pope Francis: A Man of His Word,2018,7+,6.1,83%,96
873,68 Kill,2018,18+,6,70%,93
874,Head On,1998,,6.5,63%,104
875,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,18+,7.8,,95
876,Waar,2013,,7.9,,130
877,14 Blades,2010,18+,6.3,69%,114
878,"Live Twice, Love Once",2019,,7.2,50%,101
879,Triple Threat,2019,18+,5.5,68%,96
880,Earth to Echo,2014,7+,5.8,51%,91
881,Buster's Mal Heart,2017,,6.1,70%,96
882,1000 Rupee Note,2016,,7.3,80%,89
883,40 Days and 40 Nights,2002,18+,5.6,39%,96
884,Taylor Swift: Reputation Stadium Tour,2018,,8.3,,125
885,Hannibal Buress: Comedy Camisado,2016,18+,6.6,100%,83
886,Tokyo Idols,2017,,6.8,89%,90
887,Bhool Bhulaiyaa,2007,,7.3,20%,159
888,Dev.D,2009,13+,8,,144
889,John Mulaney & The Sack Lunch Bunch,2019,,7.5,100%,70
890,Eli,2019,18+,5.7,48%,53
891,City of Joy,2016,,7.3,100%,132
892,Beyond Skyline,2017,18+,5.3,63%,106
893,Ninja Assassin,2009,18+,6.3,25%,99
894,"As Above, So Below",2014,18+,6.2,26%,93
895,The Oath,2016,,6.4,75%,60
896,The Cloverfield Paradox,2018,13+,5.5,16%,102
897,Concussion,2013,18+,5.6,75%,123
898,Little Monsters,1989,7+,6.1,50%,93
899,Dil Se..,1998,13+,7.6,,163
900,Berserk: The Golden Age Arc III - The Advent,2013,18+,7.9,,110
901,The Core,2003,13+,5.5,40%,135
902,2 States,2014,7+,6.9,44%,149
903,The Rum Diary,2011,18+,6.2,51%,119
904,Being AP,2015,13+,6.5,100%,103
905,6 Balloons,2018,18+,5.8,86%,74
906,Q Ball,2019,,6.8,90%,96
907,Knock Down the House,2019,7+,6.9,100%,87
908,Soorma,2018,13+,7.4,50%,131
909,EMO the Musical,2017,16+,6.1,75%,94
910,Abducted in Plain Sight,2017,,6.8,100%,91
911,Secret in Their Eyes,2015,13+,6.3,39%,111
912,Bon Cop Bad Cop 2,2017,,6.6,71%,126
913,Sólo con tu pareja,1992,,6.9,67%,94
914,Rustom,2016,,7.1,33%,148
915,The Debt Collector,2018,,5.7,80%,95
916,Been So Long,2018,,5.4,100%,100
917,Rampant,2018,,6.3,62%,121
918,Automata,2014,18+,6.1,30%,109
919,A Little Chaos,2015,18+,6.5,48%,112
920,Don't Be Afraid of the Dark,2010,18+,5.6,60%,99
921,Paheli,2005,13+,6.5,57%,140
922,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,18+,7,100%,30
923,Someone Great,2019,18+,6.2,83%,92
924,Monty Python Live at the Hollywood Bowl,1982,18+,7.9,,77
925,The 4th Company,2016,,6.2,100%,109
926,Amanda Knox,2016,18+,6.9,87%,92
927,My Suicide,2009,18+,7.2,57%,107
928,Anon,2018,18+,6.1,39%,100
929,Brain on Fire,2017,13+,6.6,13%,88
930,Gurgaon,2017,,6.6,71%,107
931,A Bad Moms Christmas,2017,18+,5.6,31%,104
932,Scary Movie 2,2001,18+,5.3,15%,83
933,Failure to Launch,2006,13+,5.6,24%,97
934,Set It Up,2018,16+,6.5,,105
935,The Golem,2018,18+,5.6,85%,95
936,David Brent: Life on the Road,2016,,6.3,58%,96
937,Waiting for the Hearse,1985,,8.1,,94
938,Atlantics,2019,16+,6.7,95%,106
939,Lost Girls,2020,18+,6.1,73%,95
940,Lost in London,2017,,6.2,75%,103
941,The Force,2017,,6.7,90%,
942,Jonathan,2018,18+,5.9,65%,95
943,Chennai Express,2013,13+,6,47%,141
944,Berserk: The Golden Age Arc I - The Egg of the King,2012,18+,7.6,,76
945,To the Bone,2017,18+,6.8,73%,107
946,Kabali,2016,18+,6.2,64%,153
947,Popeye,1980,7+,5.3,59%,114
948,Natsamrat,2016,,9.1,,166
949,Get Santa,2014,7+,6.2,79%,102
950,Like Father,2018,18+,6.1,49%,98
951,War Machine,2017,18+,6,48%,122
952,Deidra & Laney Rob a Train,2017,16+,6.1,91%,92
953,Here Alone,2016,,5.6,50%,98
954,Falling Inn Love,2019,7+,5.6,61%,98
955,The Bounty Hunter,2010,13+,5.6,12%,110
956,Feminists: What Were They Thinking?,2018,,6.9,80%,86
957,Guess Who,2005,13+,5.9,42%,105
958,Wake Up Sid,2009,7+,7.6,,138
959,Nobody Speak: Trials of the Free Press,2017,16+,6.5,91%,95
960,Bill Burr: Let It Go,2010,,8.4,,65
961,The Polka King,2017,,5.9,67%,95
962,Initial D,2005,7+,6.4,33%,107
963,7:19,2016,,6,100%,94
964,Happy Anniversary,2018,,5.7,83%,78
965,Ultras,2020,,6,60%,108
966,Valentine's Day,2010,13+,5.7,18%,125
967,The Lovers,2017,18+,6,84%,122
968,Pari,2018,13+,6.6,45%,136
969,Sleepless,2017,18+,5.6,25%,95
970,How to Be a Latin Lover,2017,13+,5.9,39%,115
971,Detour,2017,18+,6.2,65%,97
972,Louis C.K.: Live at The Comedy Store,2015,,7.9,,66
973,Ghosts of Girlfriends Past,2009,13+,5.8,27%,115
974,A Secret Love,2020,,8.1,,81
975,War on Everyone,2016,18+,5.8,61%,98
976,Lakshya,2004,all,7.9,,186
977,Juanita,2019,18+,5.9,77%,90
978,Equals,2015,13+,6.1,35%,101
979,The Last Days of Chez Nous,1992,18+,6.6,85%,93
980,Jaane Tu... Ya Jaane Na,2008,,7.5,,155
981,The Bleeding Edge,2018,16+,7.7,100%,99
982,S Is for Stanley,2016,,7,80%,78
983,Hot Girls Wanted,2015,,6.1,82%,84
984,Rock On!!,2008,,7.8,,145
985,Agneepath,1990,,7.7,,174
986,Susanne Bartsch: On Top,2017,,6.6,100%,86
987,Restless Creature: Wendy Whelan,2017,,7.1,100%,90
988,Don,2006,13+,7.2,,171
989,Clive Davis: The Soundtrack of Our Lives,2017,13+,7.4,80%,123
990,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,18+,7.7,92%,142
991,Goosebumps 2: Haunted Halloween,2018,7+,5.6,48%,90
992,Boyka: Undisputed IV,2016,18+,7,,86
993,National Parks Adventures,2016,13+,7,100%,43
994,Sand Castle,2017,18+,6.3,44%,113
995,Can't Help Falling in Love,2017,,7.2,,119
996,In the Tall Grass,2019,18+,5.4,36%,101
997,Kevin Hart: Irresponsible,2019,18+,6.4,100%,60
998,The B-Side: Elsa Dorfman's Portrait Photography,2017,18+,6.6,97%,76
999,The Bad Education Movie,2015,13+,5.7,63%,90
1000,Marco Polo: One Hundred Eyes,2015,,7.8,,28
1001,Beyond the Clouds,2018,,6.9,58%,110
1002,Below Her Mouth,2016,,5.5,22%,94
1003,Norman Lear: Just Another Version of You,2016,13+,7.2,86%,91
1004,A Tale of Love and Darkness,2015,13+,6,71%,95
1005,Godzilla,1998,13+,5.4,16%,123
1006,"Roxanne, Roxanne",2017,,6.2,73%,107
1007,Raising Cain,1992,18+,6.1,57%,92
1008,Results,2015,18+,5.4,84%,105
1009,Hop,2011,7+,5.4,25%,95
1010,Toro,2016,13+,5.9,80%,105
1011,Reversing Roe,2018,,7.3,86%,99
1012,Love Likes Coincidences,2011,7+,7.3,,118
1013,The Peacemaker,1997,18+,5.9,39%,124
1014,Money Heist: The Phenomenon,2020,,7.5,,57
1015,Jim Gaffigan: Obsessed,2014,16+,7.6,100%,60
1016,The Final Destination,2009,18+,5.2,29%,82
1017,Bleach the Movie: Hell Verse,2010,16+,7.4,,94
1018,Bo Burnham: Make Happy,2016,18+,8.4,,60
1019,For Colored Girls,2010,18+,6.1,32%,133
1020,The Heartbreak Kid,2007,18+,5.8,29%,116
1021,The Art of the Steal,2013,18+,6.3,44%,90
1022,Magic Carpet Ride,2005,13+,7.4,,106
1023,Holiday in the Wild,2019,7+,6.1,43%,85
1024,A-X-L,2018,13+,5.3,27%,98
1025,Orbiter 9,2017,16+,5.9,67%,95
1026,For Love or Money,1993,7+,6.2,37%,96
1027,The Package,2018,18+,5.5,50%,94
1028,Satan & Adam,2018,,7.3,88%,80
1029,Gantz:O,2016,18+,7.1,,95
1030,Detective Dee: The Four Heavenly Kings,2018,,6.4,60%,132
1031,Tau,2018,18+,5.8,29%,97
1032,The Tiger Hunter,2017,,5.7,78%,94
1033,The Body Remembers When the World Broke Open,2019,18+,6.7,97%,105
1034,Jenny Slate: Stage Fright,2019,,5.8,100%,66
1035,Tusk,2014,18+,5.3,45%,102
1036,Gemini,2018,18+,5.4,71%,116
1037,Little Evil,2017,18+,5.7,83%,94
1038,Tom Segura: Mostly Stories,2016,,7.5,,73
1039,The Student,2016,13+,6.9,87%,90
1040,My Entire High School Sinking Into the Sea,2016,13+,6,85%,75
1041,Pokémon the Movie: I Choose You!,2017,7+,6.3,33%,98
1042,What the Health,2017,,7.4,,97
1043,Bo Burnham: What.,2013,18+,8.5,,60
1044,"Frankenstein's Monster's Monster, Frankenstein",2019,,6.1,80%,32
1045,Mine,2016,,5.9,17%,106
1046,Tremors 3: Back to Perfection,2001,7+,5.3,67%,104
1047,Jim Gaffigan: Mr. Universe,2012,,7.8,,78
1048,God's Not Dead,2014,7+,4.7,13%,113
1049,Jim Gaffigan: Beyond the Pale,2006,16+,8,,72
1050,Don't Go Breaking My Heart,2011,,6.5,83%,115
1051,Zero,2018,,5.5,31%,164
1052,24 Hours to Live,2017,18+,5.7,52%,93
1053,Dream Boat,2017,,5.4,86%,92
1054,A Family Man,2017,18+,6.5,13%,108
1055,The Outsider,2018,,6.3,15%,60
1056,Into the Inferno,2016,,7.2,90%,104
1057,The Nutcracker and the Four Realms,2018,7+,5.5,33%,99
1058,Frank & Lola,2016,,5.9,69%,88
1059,The Super,2018,18+,5.9,40%,90
1060,Adventures in Public School,2018,16+,5.8,71%,86
1061,Lust Stories,2018,13+,6.5,,120
1062,A Very Murray Christmas,2015,18+,5.5,71%,56
1063,Four Sisters And A Wedding,2013,,7.3,,125
1064,The Trust,2016,18+,5.4,63%,91
1065,Struggle: The Life and Lost Art of Szukalski,2018,18+,8,,115
1066,Dean,2016,13+,6.2,62%,94
1067,Ek Ladki Ko Dekha Toh Aisa Laga,2019,,5.5,75%,120
1068,In Darkness,2018,,5.8,47%,100
1069,Rowdy Rathore,2012,13+,5.7,55%,140
1070,Secret,2007,,7.5,,101
1071,Girl on the Third Floor,2019,18+,4.6,81%,93
